temperature_K,salt_conc,salt,PC,DEC,EC,EMC,EA,DME,Sulfolane,TFP,DMC,2-MeTHF,conductivity_S_cm
322.35,1.9367,LiPF6,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.274
292.65,0.235294118,LiBOB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.387096774
301.8074528,0.4,LiBOB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.946844172
282.85,0.895942485,LiBF4,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99118058
290.9370151,1.0,LiBOB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.590200205
233.15,0.770588235,LiBF4,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.376470588
263.15,1.500571429,LiPF6,0.18,0.0,0.18,0.24,0.0,0.0,0.0,0.4,0.0,0.0,0.550458716
282.85,0.1625,LiBOB,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.033898305
313.15,1.0,LiAsF6,0.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.23
303.15,0.66394052,LiPF6,0.27,0.0,0.27,0.36,0.0,0.0,0.0,0.1,0.0,0.0,8.883753642
243.15,1.0,LiAsF6,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19
322.35,0.438095238,LiBOB,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.779448622
312.45,1.358239152,LiBF4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.722757081
298.15,0.943508115,LiPF6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.319992266
292.65,0.481902035,LiPF6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.216276514
322.35,0.151902143,LiBOB,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.595107171
293.15,1.505813953,LiBF4,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.175
312.45,0.263157895,LiBF4,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.921369689
322.35,0.957246069,LiBOB,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,13.39821504
