ASA [m^2/cm^3],NASA [m^2/cm^3],CellV [A^3],Df,Di,Dif,POAV [cm^3/g],POAVF,PONAV [cm^3/g],PONAVF,density [g/cm^3],total_SA_volumetric,total_SA_gravimetric,total_POV_volumetric,total_POV_gravimetric,CO2_uptake_16bar_mol_kg
1282.08,0.0,3472.09,9.67182,10.70302,10.70302,0.504841,0.48524,0.0,0.0,0.961173,1282.08,1333.870177,0.48524,0.504841,10.99190328
2311.99,0.0,5974.84,5.87215,8.14361,7.68514,0.64148,0.61708,0.0,0.0,0.961963,2311.99,2403.408447,0.61708,0.64148,13.80152519
572.008,0.0,1832.43,4.20342,6.64155,6.64155,0.16083,0.26298,0.0,0.0,1.63514,572.008,349.8220336,0.26298,0.16083,3.787351354
694.263,43.0234,4732.59,3.9585,4.67162,4.53755,0.145334,0.2178,0.0263042,0.03942,1.49862,737.2864,491.9768854,0.25722,0.1716382,7.697000722
1745.17,0.0,7152.37,5.69725,16.33924,15.76283,0.7237,0.63274,0.0,0.0,0.874313,1745.17,1996.047182,0.63274,0.7237,14.59580771
0.0,97.0804,2310.5,3.28798,4.61157,4.61157,0.0,0.0,0.0463334,0.07172,1.54791,97.0804,62.71708303,0.07172,0.0463334,0.935272033
0.0,1018.12,3263.98,3.54646,8.24655,8.24655,0.0,0.0,0.270902,0.40338,1.48902,1018.12,683.7517293,0.40338,0.270902,7.759141809
0.0,84.1924,1348.39,2.46148,4.32619,4.32619,0.0,0.0,0.0616151,0.12328,2.00081,84.1924,42.07915794,0.12328,0.0616151,2.345190513
616.213,0.0,1303.05,4.18788,5.01128,4.96894,0.226279,0.25318,0.0,0.0,1.11888,616.213,550.7409195,0.25318,0.226279,4.875301017
1193.32,0.0,2426.68,3.897,4.92906,4.88525,0.309471,0.39564,0.0,0.0,1.27844,1193.32,933.4188542,0.39564,0.309471,6.32979069
0.0,274.869,1528.17,2.81394,4.71107,4.69976,0.0,0.0,0.0661497,0.13046,1.97219,274.869,139.3724743,0.13046,0.0661497,1.860477263
0.0,298.692,5108.33,2.41408,4.80621,4.77482,0.0,0.0,0.0878145,0.14848,1.69084,298.692,176.6530245,0.14848,0.0878145,3.729866304
1580.45,0.0,1550.1,7.32218,7.81866,7.81866,0.509875,0.50932,0.0,0.0,0.998911,1580.45,1582.172986,0.50932,0.509875,10.4551128
1965.58,0.0,4722.68,6.40748,11.85606,11.85606,0.801127,0.6555,0.0,0.0,0.818223,1965.58,2402.254642,0.6555,0.801127,16.72818701
